"age","unit","sex","country","date","value"
"TOTAL","perc_act_pop","F","Austria",2020-06-01,6.3
"TOTAL","perc_act_pop","F","Austria",2020-05-01,5.6
"TOTAL","perc_act_pop","F","Austria",2020-04-01,5.2
"TOTAL","perc_act_pop","F","Austria",2020-03-01,4.7
"TOTAL","perc_act_pop","F","Austria",2020-02-01,4.1
"TOTAL","perc_act_pop","F","Austria",2020-01-01,4.4
"TOTAL","perc_act_pop","F","Austria",2019-12-01,4
"TOTAL","perc_act_pop","F","Austria",2019-11-01,3.9
"TOTAL","perc_act_pop","F","Austria",2019-10-01,4.2
"TOTAL","perc_act_pop","F","Austria",2019-09-01,3.8
"TOTAL","perc_act_pop","F","Austria",2019-08-01,4.8
"TOTAL","perc_act_pop","F","Austria",2019-07-01,4.7
"TOTAL","perc_act_pop","F","Austria",2019-06-01,4.1
"TOTAL","perc_act_pop","F","Austria",2019-05-01,4.4
"TOTAL","perc_act_pop","F","Austria",2019-04-01,4.8
"TOTAL","perc_act_pop","F","Austria",2019-03-01,4.5
"TOTAL","perc_act_pop","F","Austria",2019-02-01,5
"TOTAL","perc_act_pop","F","Austria",2019-01-01,4.3
"TOTAL","perc_act_pop","F","Austria",2018-12-01,4.7
"TOTAL","perc_act_pop","F","Austria",2018-11-01,4.3
"TOTAL","perc_act_pop","F","Austria",2018-10-01,4
"TOTAL","perc_act_pop","F","Austria",2018-09-01,5.1
"TOTAL","perc_act_pop","F","Austria",2018-08-01,5.6
"TOTAL","perc_act_pop","F","Austria",2018-07-01,4.8
"TOTAL","perc_act_pop","F","Austria",2018-06-01,4.3
"TOTAL","perc_act_pop","F","Austria",2018-05-01,4.3
"TOTAL","perc_act_pop","F","Austria",2018-04-01,4.4
"TOTAL","perc_act_pop","F","Austria",2018-03-01,4.8
"TOTAL","perc_act_pop","F","Austria",2018-02-01,5
"TOTAL","perc_act_pop","F","Austria",2018-01-01,4.6
"TOTAL","perc_act_pop","F","Austria",2017-12-01,5.2
"TOTAL","perc_act_pop","F","Austria",2017-11-01,5.3
"TOTAL","perc_act_pop","F","Austria",2017-10-01,4.6
"TOTAL","perc_act_pop","F","Austria",2017-09-01,5.1
"TOTAL","perc_act_pop","F","Austria",2017-08-01,5.3
"TOTAL","perc_act_pop","F","Austria",2017-07-01,4.7
"TOTAL","perc_act_pop","F","Austria",2017-06-01,4.9
"TOTAL","perc_act_pop","F","Austria",2017-05-01,5.1
